CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
SHN,9 DE JULIO,4396,VILLA JUAN MARTIN PUEYRREDON,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
SHO,ROCHA DARDO,252,BERNAL OESTE,BUENOS AIRES,LUN A SAB 08.00 A 19.00
SHP,MAIPU,3028,OLIVOS,BUENOS AIRES,LUN A VIE 09.30 A 17.30
SHQ,DEL LIBERTADOR,2311,OLIVOS,BUENOS AIRES,LUN A VIE 10.00 A 17.00
SHR,COSQUIN,2648,INGENIERO BUDGE,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 15.00
SHS,DIRECTORIO,2015,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 18.00 / SAB 09.00 A 12.00
SHT,LARREA,1259,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 20.00 / SAB 10.00 A 13.30
SHV,CONGRESO,2268,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 08.00 A 20.00
SHW,CONDE,2423,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 19.00
SHX,INDEPENDENCIA,269,ITALO,CORDOBA,LUN A VIE 08.00 A 13.00
SHY,ESPAÑA,401,VILLA MAZA,BUENOS AIRES,LUN A VIE 09.00 A 12.00 / LUN A VIE 17.00 A 20.00
SHZ,CASTELLI JUAN JOSE,698,GENERAL VILLEGAS,BUENOS AIRES,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 12.00
SIB,VILLANUEVA,1668,INGENIERO MASCHWITZ,BUENOS AIRES,LUN A VIE 09.00 A 17.00
SIC,32,1541,MIRAMAR,BUENOS AIRES,LUN A VIE 08.00 A 15.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 14.00 / SAB 17.00 A 20.00
SID,DE LA PLAZA FORTUNATO,1583,MIRAMAR,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 14.00
SIE,12 DE OCTUBRE,1080,BRAGADO,BUENOS AIRES,LUN A VIE 08.00 A 16.00 / SAB 08.00 A 12.00
SIF,RIVADAVIA BERNARDINO,299,URDAMPILLETA,BUENOS AIRES,LUN A VIE 09.30 A 12.30 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 12.00
SIG,ELLIFF HUBERTO,21,ALBERTI,BUENOS AIRES,LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 20.00
SIH,PUEYRREDON,1872,MIRAMAR,BUENOS AIRES,LUN A SAB 08.00 A 20.00
SII,LIBERTAD,2232,MARCOS PAZ,BUENOS AIRES,LUN A VIE 08.00 A 15.00
SIJ,MAIPU,555,VILLA MERCEDES,SAN LUIS,LUN A SAB 09.30 A 13.30 / LUN A SAB 17.30 A 21.00
SIK,CORDOBA,28,SAN JUAN,SAN JUAN,LUN A VIE 09.00 A 12.30 / LUN A VIE 17.00 A 21.00 / SAB 10.00 A 13.00
SIL,UGARTECHE,2650,JOSE C PAZ,BUENOS AIRES,LUN A VIE 08.00 A 20.30 / SAB 08.00 A 13.00
SIM,BRANDSEN CORONEL,3779,SAN JUSTO,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 18.00 / SAB 09.00 A 13.00
SIN,CROVARA INTENDENTE ESTEBAN JUAN S,4491,LA TABLADA,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 14.30
SIO,MALABIA,1295,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 17.30
SIP,SAN MARTIN GENERAL JOSE DE,303,ADELIA MARIA,CORDOBA,LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 12.30
SIQ,CARAFFA EMILIO,2286,CORDOBA,CORDOBA,LUN A VIE 09.30 A 13.00 / LUN A VIE 17.30 A 19.30 / SAB 09.30 A 13.00
SIR,RICCHERI TENIENTE GENERAL PABLO,2979,CORDOBA,CORDOBA,LUN A VIE 09.00 A 13.30 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 13.30 / SAB 17.00 A 21.30
SIS,BELGRANO MANUEL,465,BERUTI,BUENOS AIRES,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 12.00 / SAB 17.00 A 20.00
SIT,BELTRAMI INTENDENTE,198,CORONEL VIDAL,BUENOS AIRES,LUN A VIE 09.30 A 12.30 / LUN A VIE 14.30 A 17.00
SIV,MAJLUF INTENDENTE RODOLFO,721,MONTE HERMOSO,BUENOS AIRES,LUN A SAB 09.00 A 12.00
SIW,MARIA AUXILIADORA,295,LOS ALTOS,CATAMARCA,LUN A VIE 10.00 A 13.00 / LUN A VIE 17.00 A 21.00
SIX,S/C,0,POMAN,CATAMARCA,LUN A VIE 09.00 A 13.30 / LUN A VIE 17.00 A 21.00
SIY,SAENZ PEÑA ROQUE,391,BALLESTEROS,CORDOBA,LUN A VIE 08.00 A 12.00 / LUN A VIE 17.00 A 20.00 / SAB 08.00 A 12.00
SIZ,POVIÑA HORACIO,685,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A SAB 08.30 A 14.00 / LUN A SAB 18.00 A 21.00
SJA,LOS LAPACHOS,0,MIRAFLORES,CHACO,LUN A VIE 08.00 A 12.30 / LUN A VIE 16.30 A 20.00
SJB,CARBALLEIRA DOCTOR EMILIO,247,RUFINO,SANTA FE,LUN A VIE 08.30 A 12.00 / LUN A VIE 16.30 A 20.00
SJC,SARMIENTO,473,CORONEL ARNOLD,SANTA FE,LUN A SAB 08.30 A 12.30 / LUN A SAB 16.30 A 20.30
SJD,INDEPENDENCIA,575,FUENTES,SANTA FE,LUN A SAB 08.30 A 12.30 / LUN A SAB 16.30 A 20.30
SJE,RIVADAVIA BERNARDINO,203,ACEBAL,SANTA FE,LUN A SAB 08.30 A 12.30 / LUN A SAB 16.30 A 20.30
SJF,BELGRANO DOCTOR MANUEL,944,PUJATO,SANTA FE,LUN A SAB 08.30 A 13.30 / LUN A SAB 16.30 A 20.30
SJN,SAN MARTIN GENERAL JOSE DE,998,ROLDAN,SANTA FE,LUN A SAB 08.30 A 12.30 / LUN A SAB 16.30 A 20.30
SJO,BELGRANO MANUEL,1054,CARCARAÑA,SANTA FE,LUN A SAB 08.30 A 12.30 / LUN A SAB 16.30 A 20.30
SJX,MAIPU,235,BERNAL ESTE,BUENOS AIRES,LUN A VIE 09.00 A 17.00 / SAB 09.30 A 13.00
SKM,CABEZAS JOSE LUIS,70,BERNAL OESTE,BUENOS AIRES,LUN A VIE 10.00 A 19.00 / SAB 09.00 A 13.00
SKP,RACEDO TENIENTE GENERAL EDUARDO,117,EZEIZA,BUENOS AIRES,LUN A VIE 08.00 A 16.00 / SAB 08.00 A 12.00
SKR,YRIGOYEN HIPOLITO,13002,ADROGUE,BUENOS AIRES,LUN A VIE 11.00 A 19.00 / SAB 11.00 A 15.00
SKS,OBREROS DE LA NEGRA,90,AVELLANEDA,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
SKV,YRIGOYEN PRESIDENTE HIPOLITO,10213,TEMPERLEY,BUENOS AIRES,LUN A VIE 11.00 A 19.00 / SAB 11.00 A 15.00
SLM,LAMBERTI ANTONIO LUIS,555,GLEW,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
SLU,CALCHAQUI,6625,FLORENCIO VARELA,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 08.00 A 15.00
SLX,NOGUERA PEDRO,1001,SAN ANTONIO DE PADUA,BUENOS AIRES,LUN A VIE 08.00 A 14.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 14.00
SLY,BOEDO MARIANO,439,LOMAS DE ZAMORA,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
SMH,RECONQUISTA,762,PLOTTIER,NEUQUEN,LUN A SAB 09.00 A 12.00 / LUN A SAB 17.00 A 19.00
SMJ,PANAMERICANA,2458,BOULOGNE,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
SMO,SENZABELLO BOMBERO VOLUNTARIO,1466,FLORENCIO VARELA,BUENOS AIRES,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.00
SMR,GIBSON J,299,LLAVALLOL,BUENOS AIRES,LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 20.00
SMZ,MARADONA DIEGO ARMANDO,6050,LA TABLADA,BUENOS AIRES,LUN A SAB 12.00 A 21.00
SNC,GUIRALDES RICARDO,1025,QUILMES,BUENOS AIRES,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 14.00
SND,MITRE BARTOLOME,1902,FLORIDA OESTE,BUENOS AIRES,LUN A VIE 09.00 A 17.30
SNE,ESTADOS UNIDOS,775,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 20.00
SNF,ELCANO,3158,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 19.00
SNH,BALBIN DOCTOR RICARDO,4042,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
SNI,PEDRAZA MANUELA,2365,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 16.00 A 20.00 / LUN A SAB 10.30 A 13.30
SNJ,LAS HERAS GENERAL,3477,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 18.00 / SAB 11.00 A 16.00
SNK,RODRIGUEZ MARTIN,2913,QUILMES,BUENOS AIRES,LUN A VIE 09.00 A 23.00 / SAB 09.30 A 15.00
SNL,CASARES GOBERNADOR CARLOS,824,CASTELAR,BUENOS AIRES,LUN A SAB 09.00 A 21.00
SNN,DE LA PLAZA FORTUNATO,1401,MIRAMAR,BUENOS AIRES,LUN A VIE 08.00 A 13.30 / LUN A VIE 16.00 A 22.30 / SAB 10.00 A 13.00 / SAB 16.30 A 21.30
SOC,5,858,GENERAL PICO,LA PAMPA,LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.30
SOD,RIO CORINTOS,445,TREVELIN,CHUBUT,LUN A SAB 16.00 A 20.00
SOF,BELGRANO DOCTOR MANUEL,58,QUILINO,CORDOBA,LUN A SAB 08.00 A 13.00 / LUN A SAB 18.00 A 21.00
SOG,URQUIZA,211,VILLA ALLENDE,CORDOBA,LUN A VIE 09.00 A 13.00 / LUN A VIE 15.00 A 19.00 / SAB 09.00 A 13.00
SOI,SAN MARTIN GENERAL JOSE DE,808,LAS PALMAS,CHACO,LUN A SAB 07.30 A 12.30 / LUN A SAB 17.00 A 21.00
SOJ,LELOIR DOCTOR FEDERICO LUIS,922,GENERAL RODRIGUEZ,BUENOS AIRES,LUN A SAB 09.00 A 20.30 / DOM 09.00 A 13.00
SOK,SAN MARTIN GENERAL JOSE DE,205,ARROYO CORTO,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 15.00 A 19.00 / SAB 09.00 A 13.00
SOL,SAN JUAN,110,CHACABUCO,BUENOS AIRES,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00
SON,44,456,GENERAL PICO,LA PAMPA,LUN A VIE 07.00 A 14.00
SOO,FLORES J M,35,CINCO SALTOS,RIO NEGRO,LUN A VIE 09.00 A 20.00 / SAB 08.00 A 13.30 / SAB 16.00 A 20.00
SOQ,CAUCETE,4523,CORDOBA,CORDOBA,LUN A VIE 08.30 A 13.00 / LUN A VIE 15.30 A 19.30
SOR,MITRE GENERAL BARTOLOME,0,NICOLAS BRUZONE,CORDOBA,LUN A VIE 08.00 A 13.00
SOS,LIBERTAD,586,RIO TERCERO,CORDOBA,LUN A VIE 08.00 A 12.30 / LUN A VIE 16.30 A 20.00 / SAB 09.00 A 12.30
SOT,YRIGOYEN PRESIDENTE HIPOLITO,1050,SAN SALVADOR DE JUJUY,JUJUY,LUN A VIE 17.00 A 22.00 / LUN A VIE 09.30 A 14.00
SOU,9 DE JULIO,784,MENDOZA,MENDOZA,LUN A VIE 10.00 A 13.00 / LUN A VIE 17.00 A 19.30 / SAB 10.00 A 14.00
SOV,MITRE,1068,VILLA MERCEDES,SAN LUIS,LUN A SAB 09.00 A 20.30 / SAB 09.30 A 20.00
SOW,PESCADORES,73,VILLA MERCEDES,SAN LUIS,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 13.00 / SAB 17.00 A 21.00
SOX,RIOBAMBA,424,VILLA MERCEDES,SAN LUIS,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.00
SOZ,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,610,VICENTE LOPEZ,BUENOS AIRES,LUN A VIE 17.00 A 19.00 / LUN A VIE 10.30 A 14.00
SPA,AZCUENAGA GENERAL MIGUEL DE,1154,VICENTE LOPEZ,BUENOS AIRES,LUN A VIE 10.00 A 18.00
SPE,PELLEGRINI CARLOS,2133,VIRREYES,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
SPF,MAIPU,481,VICENTE LOPEZ,BUENOS AIRES,LUN A VIE 10.00 A 17.00 / SAB 10.00 A 13.00
SPG,CASTEX PROFESOR DOCTOR MARIANO,5759,CANNING,BUENOS AIRES,LUN A VIE 09.00 A 14.00 / LUN A VIE 16.30 A 19.00 / SAB 09.00 A 13.00
SPH,PERON EVA,5780,VILLA VATTEONE,BUENOS AIRES,LUN A VIE 08.30 A 13.00 / LUN A VIE 14.30 A 18.00
SPI,PERON TENIENTE GENERAL JUAN DOMINGO,474,FLORENCIO VARELA,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
SPJ,CORDOBA,224,GENERAL LAGOS,SANTA FE,LUN A VIE 09.00 A 12.00 / LUN A VIE 17.00 A 19.30
SPK,HOLANDA,1118,OBERA,MISIONES,LUN A SAB 07.30 A 12.00 / LUN A SAB 15.00 A 19.30
SPM,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,144,BELEN,CATAMARCA,LUN A VIE 10.00 A 22.00
SPN,PALO ROSA,389,PUERTO IGUAZU,MISIONES,LUN A VIE 08.00 A 20.00
SPO,ALBERDI JUAN BAUTISTA,264,BELLA VISTA,TUCUMAN,LUN A VIE 08.30 A 14.00
SPP,MACIEL INTENDENTE,870,VILLA MARIA,CORDOBA,LUN A VIE 08.00 A 19.00 / SAB 09.00 A 13.00
SPQ,9 DE JULIO,1874,LANUS ESTE,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 14.00
SPR,SARMIENTO PRESIDENTE DOMINGO FAUSTINO,1076,LANUS ESTE,BUENOS AIRES,LUN A VIE 10.00 A 13.00 / LUN A VIE 16.00 A 19.00
SPS,SANTAMARIA MARIANO,1952,SAN JUSTO,BUENOS AIRES,LUN A VIE 09.00 A 17.00
SPT,GUANELLA LUIS,1149,ALDO BONZI,BUENOS AIRES,LUN A SAB 00.05 A 23.59
SPU,ALICO JOSE,1265,ALDO BONZI,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 13.00
SPV,BOULOGNE SUR MER,1053,TAPIALES,BUENOS AIRES,LUN A VIE 16.00 A 20.00 / LUN A VIE 09.30 A 14.00 / SAB 09.30 A 13.00
SPX,ALSINA DOCTOR ADOLFO,3818,CLAYPOLE,BUENOS AIRES,LUN A SAB 09.00 A 12.00 / LUN A SAB 14.00 A 18.00
SPY,BAHIA BLANCA,644,LLAVALLOL,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 08.00 A 13.00
SPZ,DEFILIPPI CONCEJAL NICOLAS,1449,ITUZAINGO,BUENOS AIRES,LUN A VIE 08.30 A 13.00 / LUN A VIE 16.30 A 20.00 / SAB 09.00 A 13.00
SQA,PATRICIOS,6205,LIBERTAD,BUENOS AIRES,LUN A SAB 08.00 A 20.00
SQB,SEMANA DE MAYO,1512,FRANCISCO ALVAREZ,BUENOS AIRES,LUN A SAB 09.00 A 19.00
SQC,GORRITI JOSE IGNACIO,1246,FRANCISCO ALVAREZ,BUENOS AIRES,LUN A SAB 09.00 A 19.00
SQF,YRIGOYEN PRESIDENTE HIPOLITO,11615,TURDERA,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 10.00 A 12.00
SQG,INDEPENDENCIA,139,MORON,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.30
SQH,SANTA FE,943,BANFIELD,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 19.00
SQI,BELGRANO GENERAL MANUEL,212,TRONCOS DEL TALAR,BUENOS AIRES,LUN A SAB 08.00 A 20.00
SQJ,SAENZ PEÑA PRESIDENTE ROQUE,712,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 17.00
SQK,CHICLANA,4169,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 20.00 / SAB 10.00 A 24.00
SQL,CORDOBA,3394,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 17.00
SQM,O CONNOR VICEALMIRANTE EDUARDO,630,SAN CARLOS DE BARILOCHE,RIO NEGRO,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
SQN,IGUAZU,570,GENERAL FERNANDEZ ORO,RIO NEGRO,LUN A VIE 08.00 A 18.30 / SAB 09.00 A 17.00 / DOM 10.00 A 12.30
SQO,INDEPENDENCIA,0,CHOLILA,CHUBUT,LUN A VIE 09.00 A 14.00
SQP,DEL LIBERTADOR GRAL SAN MARTIN,493,EL CALAFATE,SANTA CRUZ,LUN A SAB 10.00 A 13.00 / LUN A SAB 15.30 A 21.00
SQQ,AZCUENAGA GENERAL MIGUEL DE,0,DEL VALLE,BUENOS AIRES,LUN A VIE 08.00 A 12.00
SQR,BELGRANO GENERAL MANUEL,350,GOBERNADOR UGARTE,BUENOS AIRES,LUN A VIE 08.00 A 12.00
SQS,ALMAFUERTE,298,SAN NICOLAS DE LOS ARROYOS,BUENOS AIRES,LUN A VIE 08.00 A 16.00
SQT,1,0,SAN ENRIQUE,BUENOS AIRES,LUN A VIE 08.00 A 12.00
SQV,INDEPENDENCIA,1812,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,LUN A VIE 09.00 A 21.00 / SAB 09.00 A 13.00
SQW,SARMIENTO,1,BANDERA,SANTIAGO DEL ESTERO,LUN A VIE 07.30 A 12.30 / LUN A VIE 16.00 A 21.00 / SAB 08.00 A 12.30 / SAB 16.00 A 21.00
SQX,SARMIENTO,36,RAWSON,SAN JUAN,LUN A VIE 09.00 A 13.00 / LUN A VIE 18.00 A 21.00
SQY,CASEROS,1092,SAN JUAN,SAN JUAN,LUN A VIE 09.00 A 20.00 / SAB 09.30 A 13.00
SQZ,CORRIENTES,840,SAN JUAN,SAN JUAN,LUN A VIE 09.30 A 20.00 / SAB 09.30 A 13.30
SRA,SAN MARTIN,402,SAN JOSE DE JACHAL,SAN JUAN,LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
SRB,25 DE MAYO,468,PATQUIA,LA RIOJA,LUN A VIE 10.00 A 14.00 / LUN A VIE 18.00 A 23.00 / SAB 10.00 A 14.00 / DOM 10.00 A 14.00
SRC,BELGRANO MANUEL,2268,OLAVARRIA,BUENOS AIRES,LUN A SAB 08.00 A 12.00
SRD,JUBILADOS NEUQUINOS,1271,NEUQUEN,NEUQUEN,LUNES 09.00 A 17.00 / MIERCOLES 09.00 A 17.00 / VIERNES 09.00 A 17.00
SRE,SAN MARTIN,189,GENERAL PIRAN,BUENOS AIRES,LUN A VIE 09.30 A 12.30 / LUN A VIE 17.00 A 21.00 / SAB 09.30 A 12.30
SRF,MOLINA MANUEL IGNACIO,1943,ROSARIO,SANTA FE,LUN A VIE 08.30 A 18.00
SRG,MADREJON TEOFILO,5492,SANTA FE,SANTA FE,LUN A VIE 10.00 A 17.30 / SAB 10.00 A 13.00
SRI,BROWN ALMIRANTE GUILLERMO,693,CONCEPCION DEL BERMEJO,CHACO,LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
SRJ,CRESPO GOBERNADOR DOMINGO,2260,SANTA FE,SANTA FE,LUN A VIE 09.00 A 20.00 / SAB 09.00 A 13.00
SRK,LA PLATA,0,VILLA SAN LUIS,BUENOS AIRES,LUN A VIE 09.00 A 17.00
SRL,DE LOS CONSTITUYENTES,181,VILLA MARTELLI,BUENOS AIRES,LUN A VIE 09.00 A 14.00 / LUN A VIE 15.00 A 18.00
SRN,SALGUERO,1506,BOULOGNE,BUENOS AIRES,LUN A SAB 09.00 A 11.00 / LUN A SAB 17.00 A 20.00
SRO,ALVEAR ANGEL TORCUATO DE,2549,DON TORCUATO,BUENOS AIRES,LUN A VIE 08.00 A 17.00 / SAB 08.00 A 12.00
SRP,PERON EVA,3314,BERAZATEGUI,BUENOS AIRES,LUN A VIE 08.00 A 20.00 / SAB 09.00 A 13.00
SRQ,DE LA PLAZA DOCTOR VICTORINO,948,FLORENCIO VARELA,BUENOS AIRES,LUN A SAB 17.00 A 20.00 / LUN A SAB 10.00 A 13.30
SRR,PERON TENIENTE GENERAL JUAN DOMINGO,1730,FLORENCIO VARELA,BUENOS AIRES,LUN A SAB 10.00 A 13.00 / LUN A SAB 15.00 A 18.00
SRS,DEL VALLE ARISTOBULO,1688,LANUS OESTE,BUENOS AIRES,SAB 08.00 A 12.00 / LUNES 08.00 A 19.00 / MIERCOLES 08.00 A 15.00 / VIERNES 08.00 A 19.00
SRT,PORTUGAL REPUBLICA DE,2021,ISIDRO CASANOVA,BUENOS AIRES,LUN A VIE 10.00 A 18.00
SSC,SAN MARTIN,0,EL TRAPICHE,SAN LUIS,LUN A VIE 08.00 A 15.00 / SAB 09.00 A 13.00
SSD,9 DE JULIO,810,SAN LUIS,SAN LUIS,LUN A VIE 08.00 A 22.00 / SAB 08.00 A 14.00
SSL,RIVADAVIA BERNARDINO,589,ORENSE,BUENOS AIRES,LUN A VIE 16.00 A 20.00 / SAB 09.30 A 14.00
SSE,LOS NOGALES,4263,VILLA CELINA,BUENOS AIRES,LUN A SAB 10.00 A 20.00
SSF,SAN MARTIN,1048,DON BOSCO,BUENOS AIRES,LUN A VIE 09.00 A 17.00
SSG,MALDONADO,264,CIUDADELA,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
SSI,BOLIVAR,364,RAMOS MEJIA,BUENOS AIRES,LUN A VIE 17.00 A 21.00 / SAB 11.00 A 14.00
SRU,BAZAN Y BUSTOS OBISPO ABEL,502,TAMA,LA RIOJA,LUN A VIE 09.00 A 15.00 / SAB 09.00 A 13.00
SRV,FUNES JUAN GILBERTO,937,SAN LUIS,SAN LUIS,LUN A SAB 17.30 A 20.30 / LUN A SAB 09.30 A 13.30
SRW,TAPIA ABRAHAM,1698,RAWSON,SAN JUAN,LUN A SAB 09.00 A 13.00 / LUN A SAB 18.00 A 22.00
SSA,SAN MARTIN,285,CAMPANA,BUENOS AIRES,LUN A SAB 07.00 A 21.00
SSB,COLON,1012,CAMPANA,BUENOS AIRES,LUN A SAB 09.00 A 14.00 / LUN A SAB 17.00 A 21.00
SSN,MITRE,450,QUILMES,BUENOS AIRES,LUN A VIE 07.00 A 18.30 / SAB 09.00 A 14.00
SSP,YRIGOYEN PRESIDENTE HIPOLITO,9115,LOMAS DE ZAMORA,BUENOS AIRES,LUN A SAB 09.00 A 19.00
SSQ,RIVADAVIA,17702,MORON,BUENOS AIRES,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 13.00
SSR,CORRIENTES,2209,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 20.00 / SAB 08.00 A 17.00
SSS,ITALIA,0,SANTA LUCIA,CORRIENTES,LUN A SAB 08.00 A 12.00 / LUN A SAB 15.00 A 20.00
SST,ALEM LEANDRO NICEFORO,2535,ROSARIO,SANTA FE,LUN A SAB 16.00 A 20.00 / LUN A SAB 09.30 A 13.30
SSU,S/C,0,FORMOSA,FORMOSA,LUN A SAB 08.30 A 12.30 / LUN A SAB 17.00 A 21.00
SSW,BELGRANO GENERAL MANUEL,500,GOBERNADOR JUAN E MARTINEZ,CORRIENTES,LUN A SAB 08.00 A 12.00 / LUN A SAB 15.00 A 20.00
SSX,LUNGHI INTENDENTE JOSE EMILIO,2334,TANDIL,BUENOS AIRES,LUN A VIE 09.00 A 12.30 / LUN A VIE 16.00 A 19.30
SSZ,13,566,LIMA,BUENOS AIRES,LUN A VIE 16.00 A 18.00 / LUN A SAB 09.00 A 13.00
#N/A,SAN MARTIN,715,LAS HERAS,MENDOZA,LUN A VIE 07.00 A 19.00
STA,PERETTE CARLOS H,544,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 07.00 A 20.00 / SAB 08.00 A 20.00
STB,NAZCA,627,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 17.30
STC,TUCUMAN,882,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 22.00 / SAB 12:00 A 22:00
STE,GUEMES GENERAL MARTIN MIGUEL DE,1152,MORENO,BUENOS AIRES,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 13.00
STF,ESQUIU FRAY MAMERTO,511,FRANCISCO ALVAREZ,BUENOS AIRES,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 13.00
STG,ACTIS MONSEÑOR LUIS JOSE,1594,TANDIL,BUENOS AIRES,LUN A SAB 08.00 A 21.00 / DOM 09.00 A 21.00
STH,RIVADAVIA BERNARDINO,316,SANTA ROSA,LA PAMPA,LUN A VIE 08.00 A 20.00 / SAB 09.00 A 13.00
STI,ALBERTI PRESBITERO MANUEL,3254,MAR DEL PLATA,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 12.00
STJ,ARGUMEDO BENJAMIN,2648,KILOMETRO 8,MENDOZA,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.30 A 20.30
STK,MITRE BARTOLOME,1418,SAN RAFAEL,MENDOZA,LUN A VIE 17.00 A 21.00 / LUN A SAB 09.00 A 13.00
STL,VILLARROEL INTENDENTE,427,BELL VILLE,CORDOBA,LUN A VIE 09.00 A 12.30 / LUN A VIE 16.15 A 20.30
STM,ARGENTINA,345,VILLA SANTA CRUZ DEL LAGO,CORDOBA,LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
STN,TRES ACEQUIAS,75,MEDRANO,MENDOZA,LUN A VIE 09.30 A 12.30 / LUN A VIE 17.00 A 20.30 / SAB 17.00 A 21.00 / SAB 09.30 A 13.00
STO,S/C,0,CAMPANAS,LA RIOJA,LUN A SAB 08.00 A 24.00
STP,BELGRANO MANUEL,116,GRANADERO BAIGORRIA,SANTA FE,LUN A VIE 08.00 A 19.00
STQ,S/C,0,SANTA FE,SANTA FE,LUN A VIE 07.00 A 21.00
STR,1 DE MAYO,2360,PEREZ,SANTA FE,LUN A VIE 07.00 A 13.00 / LUN A VIE 16.00 A 21.00
